time,deploy_id,service,component,event_id,level,ip,log_txt
2018-10-23 09:44:02.995,59442,cf-pdman,cf-pdman,11,INFO,192.169.7.98,"2018-10-23 09:44:02.995 INFO  sqlalchemy.orm.mapper.Mapper (Lock|locks) _configure_property(state, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.996,59442,cf-pdman,cf-pdman,16,INFO,192.169.7.98,"2018-10-23 09:44:02.996 INFO  sqlalchemy.orm.mapper.Mapper (Lock|locks) _configure_property(timestamp, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.996,59442,cf-pdman,cf-pdman,49,INFO,192.169.7.98,"2018-10-23 09:44:02.996 INFO  sqlalchemy.orm.mapper.Mapper (Lock|locks) Identified primary key columns: ColumnSet([Column('id', Integer(), table=<locks>, primary_key=True, nullable=False)]) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.997,59442,cf-pdman,cf-pdman,22,INFO,192.169.7.98,"2018-10-23 09:44:02.997 INFO  sqlalchemy.orm.mapper.Mapper (Lock|locks) constructed req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.999,59442,cf-pdman,cf-pdman,5,INFO,192.169.7.98,"2018-10-23 09:44:02.999 INFO  sqlalchemy.orm.mapper.Mapper (Monitor|monitor) _configure_property(created_at, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:03.000,59442,cf-pdman,cf-pdman,6,INFO,192.169.7.98,"2018-10-23 09:44:03.000 INFO  sqlalchemy.orm.mapper.Mapper (Monitor|monitor) _configure_property(updated_at, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:03.000,59442,cf-pdman,cf-pdman,7,INFO,192.169.7.98,"2018-10-23 09:44:03.000 INFO  sqlalchemy.orm.mapper.Mapper (Monitor|monitor) _configure_property(id, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:03.001,59442,cf-pdman,cf-pdman,50,INFO,192.169.7.98,"2018-10-23 09:44:03.001 INFO  sqlalchemy.orm.mapper.Mapper (Monitor|monitor) _configure_property(svrname, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:03.001,59442,cf-pdman,cf-pdman,51,INFO,192.169.7.98,"2018-10-23 09:44:03.001 INFO  sqlalchemy.orm.mapper.Mapper (Monitor|monitor) _configure_property(version, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:03.001,59442,cf-pdman,cf-pdman,52,INFO,192.169.7.98,"2018-10-23 09:44:03.001 INFO  sqlalchemy.orm.mapper.Mapper (Monitor|monitor) _configure_property(srcname, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
